scenario,phi,num_obs,alpha_run
Nc=Np,0.39996337890625,6553,0.572448
Nc=Np,0.39996337890625,6553,0.551021
Nc=Np,0.39996337890625,6553,0.56522
Nc=Np,0.39996337890625,6553,0.581671
Nc=Np,0.39996337890625,6553,0.563
Nc=Np,0.39996337890625,6553,0.536558
Nc=Np,0.39996337890625,6553,0.556917
Nc=Np,0.39996337890625,6553,0.561344
Nc=Np,0.39996337890625,6553,0.553899
Nc=Np,0.39996337890625,6553,0.552785
Nc=Np,0.39996337890625,6553,0.561212
Nc=Np,0.39996337890625,6553,0.579598
Nc=Np,0.39996337890625,6553,0.551355
Nc=Np,0.39996337890625,6553,0.560963
Nc=Np,0.39996337890625,6553,0.549255
Nc=Np,0.39996337890625,6553,0.561551
Nc=Np,0.39996337890625,6553,0.536163
Nc=Np,0.39996337890625,6553,0.589536
Nc=Np,0.39996337890625,6553,0.568514
Nc=Np,0.39996337890625,6553,0.578099
Nc=Np,0.39996337890625,6553,0.589201
Nc=Np,0.39996337890625,6553,0.553773
Nc=Np,0.39996337890625,6553,0.560244
Nc=Np,0.39996337890625,6553,0.581605
Nc=Np,0.39996337890625,6553,0.563755
Nc=Np,0.39996337890625,6553,0.586733
Nc=Np,0.39996337890625,6553,0.556538
Nc=Np,0.39996337890625,6553,0.572635
Nc=Np,0.39996337890625,6553,0.555777
Nc=Np,0.39996337890625,6553,0.552943
Nc=Np,0.39996337890625,6553,0.575487
Nc=Np,0.39996337890625,6553,0.541113
Nc=Np,0.39996337890625,6553,0.573828
Nc=Np,0.39996337890625,6553,0.576512
Nc=Np,0.39996337890625,6553,0.55923
Nc=Np,0.39996337890625,6553,0.572394
Nc=Np,0.39996337890625,6553,0.55806
Nc=Np,0.39996337890625,6553,0.578646
Nc=Np,0.39996337890625,6553,0.567942
Nc=Np,0.39996337890625,6553,0.552001
Nc=Np,0.39996337890625,6553,0.589329
Nc=Np,0.39996337890625,6553,0.53738
Nc=Np,0.39996337890625,6553,0.551201
