scenario,phi,num_obs,run,d_run,n_reach,n_total,modo,periodic
Nc=Np,0.199951171875,3276,46,1.531049250535332,3269,3277,por_presa,True
Nc=Np,0.199951171875,3276,47,1.540788267644363,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,48,1.5194249005812175,3269,3277,por_presa,True
Nc=Np,0.199951171875,3276,49,1.535125229077581,3274,3277,por_presa,True
Nc=Np,0.199951171875,3276,50,1.5229357798165137,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,51,1.5276843071275619,3269,3277,por_presa,True
Nc=Np,0.199951171875,3276,52,1.5276504735716467,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,53,1.5327017114914425,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,54,1.5201588271227855,3274,3277,por_presa,True
Nc=Np,0.199951171875,3276,55,1.5275566442131048,3266,3277,por_presa,True
Nc=Np,0.199951171875,3276,56,1.5070293398533008,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,57,1.4931339639914556,3277,3277,por_presa,True
Nc=Np,0.199951171875,3276,58,1.5059578368469295,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,59,1.50580684596577,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,60,1.5262675626145388,3274,3277,por_presa,True
Nc=Np,0.199951171875,3276,61,1.5267502292876796,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,62,1.5320904645476772,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,63,1.5155772755039707,3274,3277,por_presa,True
Nc=Np,0.199951171875,3276,64,1.5022942795962069,3269,3277,por_presa,True
Nc=Np,0.199951171875,3276,65,1.532312404287902,3265,3277,por_presa,True
Nc=Np,0.199951171875,3276,66,1.521393643031785,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,67,1.5137446548564448,3274,3277,por_presa,True
Nc=Np,0.199951171875,3276,68,1.5029043106083766,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,69,1.5198776758409787,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,70,1.5160796324655437,3265,3277,por_presa,True
Nc=Np,0.199951171875,3276,71,1.5414246407826353,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,72,1.5299694189602446,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,73,1.52203182374541,3268,3277,por_presa,True
Nc=Np,0.199951171875,3276,74,1.5261068702290077,3275,3277,por_presa,True
Nc=Np,0.199951171875,3276,75,1.5262675626145388,3274,3277,por_presa,True
Nc=Np,0.199951171875,3276,76,1.511145038167939,3275,3277,por_presa,True
Nc=Np,0.199951171875,3276,77,1.4894592117323557,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,78,1.5113149847094802,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,79,1.5432589422195047,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,80,1.516651390161931,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,81,1.5314984709480122,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,82,1.5174525413349662,3266,3277,por_presa,True
Nc=Np,0.199951171875,3276,83,1.5459822792545066,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,84,1.5119339045287639,3268,3277,por_presa,True
Nc=Np,0.199951171875,3276,85,1.542036074594925,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,86,1.5412591687041566,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,87,1.5302197802197801,3276,3277,por_presa,True
Nc=Np,0.199951171875,3276,88,1.4996941896024465,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,89,1.50580684596577,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,90,1.5145126794989305,3273,3277,por_presa,True
Nc=Np,0.199951171875,3276,91,1.5130009177118384,3269,3277,por_presa,True
Nc=Np,0.199951171875,3276,92,1.5029078665442301,3267,3277,por_presa,True
Nc=Np,0.199951171875,3276,93,1.517621820410665,3263,3277,por_presa,True
Nc=Np,0.199951171875,3276,94,1.5210880195599021,3272,3277,por_presa,True
Nc=Np,0.199951171875,3276,95,1.539755351681957,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,96,1.5115995115995116,3276,3277,por_presa,True
Nc=Np,0.199951171875,3276,97,1.501834862385321,3270,3277,por_presa,True
Nc=Np,0.199951171875,3276,98,1.5038214613268113,3271,3277,por_presa,True
Nc=Np,0.199951171875,3276,99,1.5229779411764706,3264,3277,por_presa,True
Nc=Np,0.29998779296875,4915,0,1.6597320169252467,2836,2867,por_presa,True
Nc=Np,0.29998779296875,4915,1,1.6370683579985905,2838,2867,por_presa,True
Nc=Np,0.29998779296875,4915,2,1.6348533050547898,2829,2867,por_presa,True
Nc=Np,0.29998779296875,4915,3,1.7068783068783069,2835,2867,por_presa,True
Nc=Np,0.29998779296875,4915,4,1.66361071932299,2836,2867,por_presa,True
Nc=Np,0.29998779296875,4915,5,1.6427314325941569,2841,2867,por_presa,True
Nc=Np,0.29998779296875,4915,6,1.6198026779422128,2838,2867,por_presa,True
Nc=Np,0.29998779296875,4915,7,1.7081272084805654,2830,2867,por_presa,True
Nc=Np,0.29998779296875,4915,8,1.6518675123326285,2838,2867,por_presa,True
Nc=Np,0.29998779296875,4915,9,1.6889985895627644,2836,2867,por_presa,True
Nc=Np,0.29998779296875,4915,10,1.6647807637906649,2828,2867,por_presa,True
Nc=Np,0.29998779296875,4915,11,1.6346018322762508,2838,2867,por_presa,True
Nc=Np,0.29998779296875,4915,12,1.6630243214663376,2837,2867,por_presa,True
Nc=Np,0.29998779296875,4915,13,1.6634887005649717,2832,2867,por_presa,True
Nc=Np,0.29998779296875,4915,14,1.6696081891987293,2833,2867,por_presa,True
Nc=Np,0.29998779296875,4915,15,1.6234502302515055,2823,2867,por_presa,True
Nc=Np,0.29998779296875,4915,16,1.6610229276895943,2835,2867,por_presa,True
Nc=Np,0.29998779296875,4915,17,1.6213832039520113,2834,2867,por_presa,True
Nc=Np,0.29998779296875,4915,18,1.6599788806758184,2841,2867,por_presa,True
Nc=Np,0.29998779296875,4915,19,1.6539548022598871,2832,2867,por_presa,True
Nc=Np,0.29998779296875,4915,20,1.6639718804920913,2845,2867,por_presa,True
Nc=Np,0.29998779296875,4915,21,1.671615411806292,2829,2867,por_presa,True
Nc=Np,0.29998779296875,4915,22,1.6605439773931474,2831,2867,por_presa,True
Nc=Np,0.29998779296875,4915,23,1.6284807895664435,2837,2867,por_presa,True
Nc=Np,0.29998779296875,4915,24,1.6284906327324142,2829,2867,por_presa,True
Nc=Np,0.29998779296875,4915,25,1.652787579393084,2834,2867,por_presa,True
Nc=Np,0.29998779296875,4915,26,1.6447414702778755,2843,2867,por_presa,True
Nc=Np,0.29998779296875,4915,27,1.6437146892655368,2832,2867,por_presa,True
Nc=Np,0.29998779296875,4915,28,1.6687808315715293,2838,2867,por_presa,True
Nc=Np,0.29998779296875,4915,29,1.6833333333333333,2820,2867,por_presa,True
Nc=Np,0.29998779296875,4915,30,1.6670190274841437,2838,2867,por_presa,True
Nc=Np,0.29998779296875,4915,31,1.628763726532058,2823,2867,por_presa,True
Nc=Np,0.29998779296875,4915,32,1.645811240721103,2829,2867,por_presa,True
Nc=Np,0.29998779296875,4915,33,1.6328757479760647,2841,2867,por_presa,True
Nc=Np,0.29998779296875,4915,34,1.6103667136812412,2836,2867,por_presa,True
Nc=Np,0.29998779296875,4915,35,1.6854924108718672,2833,2867,por_presa,True
Nc=Np,0.29998779296875,4915,36,1.6779422128259338,2838,2867,por_presa,True
Nc=Np,0.29998779296875,4915,37,1.6676066267183645,2837,2867,por_presa,True
Nc=Np,0.29998779296875,4915,38,1.6630204657727594,2834,2867,por_presa,True
Nc=Np,0.29998779296875,4915,39,1.6651408450704226,2840,2867,por_presa,True
Nc=Np,0.29998779296875,4915,40,1.6441934345217084,2833,2867,por_presa,True
Nc=Np,0.29998779296875,4915,41,1.7137310271796682,2833,2867,por_presa,True
Nc=Np,0.29998779296875,4915,42,1.6765746638358103,2826,2867,por_presa,True
Nc=Np,0.29998779296875,4915,43,1.6375176304654442,2836,2867,por_presa,True
Nc=Np,0.29998779296875,4915,44,1.6822660098522169,2842,2867,por_presa,True
Nc=Np,0.29998779296875,4915,45,1.675618374558304,2830,2867,por_presa,True
Nc=Np,0.29998779296875,4915,46,1.6893992932862192,2830,2867,por_presa,True
Nc=Np,0.29998779296875,4915,47,1.6513437057991514,2828,2867,por_presa,True
Nc=Np,0.29998779296875,4915,48,1.6720619282195637,2842,2867,por_presa,True
