run,steps,escapers,seed
603,1,25,3916191248
604,1,25,3916191249
605,1,25,3916191250
606,1,25,3916191251
607,1,25,3916191252
608,1,25,3916191253
609,1,25,3916191254
610,1,25,3916191255
611,1,25,3916191256
612,1,25,3916191257
613,1,25,3916191258
614,1,25,3916191259
615,1,25,3916191260
616,1,25,3916191261
617,1,25,3916191262
618,1,25,3916191263
620,1,25,3916191265
619,1,25,3916191264
621,1,25,3916191266
622,1,25,3916191267
624,1,25,3916191269
625,1,25,3916191270
623,1,25,3916191268
626,1,25,3916191271
627,1,25,3916191272
628,1,25,3916191273
629,1,25,3916191274
630,1,25,3916191275
631,1,25,3916191276
632,1,25,3916191277
633,1,25,3916191278
634,1,25,3916191279
635,1,25,3916191280
636,1,25,3916191281
637,1,25,3916191282
638,1,25,3916191283
639,1,25,3916191284
640,1,25,3916191285
641,1,25,3916191286
642,1,25,3916191287
643,1,25,3916191288
644,1,25,3916191289
645,1,25,3916191290
646,1,25,3916191291
647,1,25,3916191292
650,1,25,3916191295
651,1,25,3916191296
649,1,25,3916191294
652,1,25,3916191297
648,1,25,3916191293
653,1,25,3916191298
654,1,25,3916191299
655,1,25,3916191300
656,1,25,3916191301
657,1,25,3916191302
658,1,25,3916191303
659,1,25,3916191304
660,1,25,3916191305
661,1,25,3916191306
663,1,25,3916191308
662,1,25,3916191307
664,1,25,3916191309
665,1,25,3916191310
666,1,25,3916191311
667,1,25,3916191312
668,1,25,3916191313
669,1,25,3916191314
670,1,25,3916191315
671,1,25,3916191316
672,1,25,3916191317
673,1,25,3916191318
674,1,25,3916191319
675,1,25,3916191320
676,1,25,3916191321
677,1,25,3916191322
678,1,25,3916191323
679,1,25,3916191324
680,1,25,3916191325
681,1,25,3916191326
682,1,25,3916191327
683,1,25,3916191328
684,1,25,3916191329
685,1,25,3916191330
686,1,25,3916191331
687,1,25,3916191332
688,1,25,3916191333
689,1,25,3916191334
690,1,25,3916191335
691,1,25,3916191336
692,1,25,3916191337
693,1,25,3916191338
694,1,25,3916191339
695,1,25,3916191340
696,1,25,3916191341
697,1,25,3916191342
698,1,25,3916191343
699,1,25,3916191344
700,1,25,3916191345
701,1,25,3916191346
702,1,25,3916191347
703,1,25,3916191348
704,1,25,3916191349
705,1,25,3916191350
706,1,25,3916191351
707,1,25,3916191352
708,1,25,3916191353
709,1,25,3916191354
710,1,25,3916191355
711,1,25,3916191356
712,1,25,3916191357
713,1,25,3916191358
714,1,25,3916191359
715,1,25,3916191360
716,1,25,3916191361
717,1,25,3916191362
718,1,25,3916191363
719,1,25,3916191364
720,1,25,3916191365
721,1,25,3916191366
722,1,25,3916191367
723,1,25,3916191368
724,1,25,3916191369
725,1,25,3916191370
726,1,25,3916191371
727,1,25,3916191372
728,1,25,3916191373
729,1,25,3916191374
730,1,25,3916191375
731,1,25,3916191376
732,1,25,3916191377
733,1,25,3916191378
734,1,25,3916191379
735,1,25,3916191380
736,1,25,3916191381
737,1,25,3916191382
738,1,25,3916191383
739,1,25,3916191384
740,1,25,3916191385
741,1,25,3916191386
743,1,25,3916191388
744,1,25,3916191389
742,1,25,3916191387
745,1,25,3916191390
746,1,25,3916191391
747,1,25,3916191392
748,1,25,3916191393
749,1,25,3916191394
750,1,25,3916191395
751,1,25,3916191396
752,1,25,3916191397
753,1,25,3916191398
754,1,25,3916191399
755,1,25,3916191400
756,1,25,3916191401
757,1,25,3916191402
758,1,25,3916191403
759,1,25,3916191404
760,1,25,3916191405
761,1,25,3916191406
763,1,25,3916191408
762,1,25,3916191407
764,1,25,3916191409
766,1,25,3916191411
765,1,25,3916191410
767,1,25,3916191412
768,1,25,3916191413
769,1,25,3916191414
770,1,25,3916191415
771,1,25,3916191416
772,1,25,3916191417
773,1,25,3916191418
774,1,25,3916191419
775,1,25,3916191420
776,1,25,3916191421
777,1,25,3916191422
778,1,25,3916191423
779,1,25,3916191424
780,1,25,3916191425
781,1,25,3916191426
782,1,25,3916191427
783,1,25,3916191428
784,1,25,3916191429
785,1,25,3916191430
786,1,25,3916191431
787,1,25,3916191432
788,1,25,3916191433
789,1,25,3916191434
790,1,25,3916191435
791,1,25,3916191436
792,1,25,3916191437
793,1,25,3916191438
794,1,25,3916191439
795,1,25,3916191440
796,1,25,3916191441
797,1,25,3916191442
798,1,25,3916191443
799,1,25,3916191444
800,1,25,3916191445
801,1,25,3916191446
802,1,25,3916191447
803,1,25,3916191448
804,1,25,3916191449
805,1,25,3916191450
806,1,25,3916191451
807,1,25,3916191452
808,1,25,3916191453
809,1,25,3916191454
810,1,25,3916191455
811,1,25,3916191456
812,1,25,3916191457
813,1,25,3916191458
814,1,25,3916191459
815,1,25,3916191460
816,1,25,3916191461
817,1,25,3916191462
818,1,25,3916191463
819,1,25,3916191464
820,1,25,3916191465
821,1,25,3916191466
822,1,25,3916191467
823,1,25,3916191468
824,1,25,3916191469
826,1,25,3916191471
828,1,25,3916191473
829,1,25,3916191474
827,1,25,3916191472
830,1,25,3916191475
831,1,25,3916191476
832,1,25,3916191477
834,1,25,3916191479
833,1,25,3916191478
835,1,25,3916191480
825,1,25,3916191470
836,1,25,3916191481
838,1,25,3916191483
840,1,25,3916191485
837,1,25,3916191482
841,1,25,3916191486
839,1,25,3916191484
842,1,25,3916191487
843,1,25,3916191488
844,1,25,3916191489
845,1,25,3916191490
846,1,25,3916191491
847,1,25,3916191492
849,1,25,3916191494
850,1,25,3916191495
851,1,25,3916191496
848,1,25,3916191493
852,1,25,3916191497
853,1,25,3916191498
854,1,25,3916191499
855,1,25,3916191500
856,1,25,3916191501
857,1,25,3916191502
858,1,25,3916191503
859,1,25,3916191504
860,1,25,3916191505
861,1,25,3916191506
862,1,25,3916191507
863,1,25,3916191508
864,1,25,3916191509
865,1,25,3916191510
866,1,25,3916191511
867,1,25,3916191512
869,1,25,3916191514
868,1,25,3916191513
870,1,25,3916191515
871,1,25,3916191516
872,1,25,3916191517
873,1,25,3916191518
874,1,25,3916191519
875,1,25,3916191520
876,1,25,3916191521
877,1,25,3916191522
878,1,25,3916191523
879,1,25,3916191524
880,1,25,3916191525
881,1,25,3916191526
882,1,25,3916191527
883,1,25,3916191528
884,1,25,3916191529
886,1,25,3916191531
885,1,25,3916191530
887,1,25,3916191532
888,1,25,3916191533
889,1,25,3916191534
890,1,25,3916191535
891,1,25,3916191536
894,1,25,3916191539
892,1,25,3916191537
893,1,25,3916191538
895,1,25,3916191540
896,1,25,3916191541
897,1,25,3916191542
898,1,25,3916191543
899,1,25,3916191544
900,1,25,3916191545
901,1,25,3916191546
902,1,25,3916191547
903,1,25,3916191548
904,1,25,3916191549
906,1,25,3916191551
905,1,25,3916191550
907,1,25,3916191552
909,1,25,3916191554
908,1,25,3916191553
910,1,25,3916191555
911,1,25,3916191556
912,1,25,3916191557
913,1,25,3916191558
914,1,25,3916191559
915,1,25,3916191560
916,1,25,3916191561
918,1,25,3916191563
917,1,25,3916191562
919,1,25,3916191564
921,1,25,3916191566
